route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN107260F3211436:2025-01-22T00:42:25Z,107260,1,42,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN107261F3518089:2025-01-22T00:42:25Z,107261,1,43,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107284F3517815:2025-01-24T00:40:05Z,107284,1,44,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107300F3163466:2025-01-24T00:40:05Z,107300,1,45,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107306F3163480:2025-01-24T00:40:05Z,107306,1,46,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107359F3301206:2025-01-24T00:40:05Z,107359,1,47,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN107486F3517768:2025-01-22T00:42:25Z,107486,1,48,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN108203F3499373:2025-01-22T00:42:25Z,108203,0,49,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN108203F3520274:2025-01-24T00:40:05Z,108203,0,50,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN108241F3163529:2025-01-22T00:42:25Z,108241,0,51,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN108260F3519292:2025-01-22T00:42:25Z,108260,0,52,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN108284F3517595:2025-01-24T00:40:05Z,108284,0,53,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN108300F3517790:2025-01-22T00:42:25Z,108300,0,54,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN108359F3163929:2025-01-24T00:40:05Z,108359,0,55,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN108440F3163504:2025-01-22T00:42:25Z,108440,0,56,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000019,OCESN108440F3175845:2025-01-22T00:42:25Z,108440,0,57,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN108440F3202126:2025-01-24T00:40:05Z,108440,0,58,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN108440F3517611:2025-01-22T00:42:25Z,108440,0,59,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN108444F3517618:2025-01-22T00:42:25Z,108444,0,60,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13100F3521709:2025-01-24T00:40:05Z,13100,1,61,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13101F3518009:2025-01-24T00:40:05Z,13101,0,62,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13102F3526141:2025-01-24T00:40:05Z,13102,1,63,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13103F3514410:2025-01-24T00:40:05Z,13103,0,64,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000021,OCESN13104F3517648:2025-01-24T00:40:05Z,13104,1,65,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000022,OCESN13104F3518732:2025-01-18T00:24:06Z,13104,1,66,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13104F3521111:2025-01-21T00:39:14Z,13104,1,67,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000024,OCESN13104F3534572:2025-01-22T00:42:25Z,13104,1,68,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000025,OCESN13104F3546017:2024-11-29T10:03:28Z,13104,1,69,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000026,OCESN13104F3620659:2025-01-10T00:20:33Z,13104,1,70,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000027,OCESN13104F3634857:2025-01-10T00:20:33Z,13104,1,71,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13104F3843769:2025-01-22T00:42:25Z,13104,1,72,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000029,OCESN13105F3518063:2025-01-24T00:40:05Z,13105,0,73,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000030,OCESN13105F3520939:2025-01-10T00:20:33Z,13105,0,74,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13105F3702874:2025-01-23T00:40:07Z,13105,0,75,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13105F3826995:2025-01-22T00:42:25Z,13105,0,76,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13106F3529191:2025-01-24T00:40:05Z,13106,1,77,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13107F3517677:2025-01-24T00:40:05Z,13107,0,78,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13108F3517679:2025-01-24T00:40:05Z,13108,1,79,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000031,OCESN13109F3519524:2025-01-24T00:40:05Z,13109,0,80,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000022,OCESN13109F3530053:2025-01-10T00:20:33Z,13109,0,81,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13109F3604118:2025-01-21T00:39:14Z,13109,0,82,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000032,OCESN13109F3604190:2025-01-10T00:20:33Z,13109,0,83,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13110F3517701:2025-01-24T00:40:05Z,13110,1,84,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13111F3511273:2025-01-24T00:40:05Z,13111,0,85,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000022,OCESN13111F3515901:2024-11-29T10:03:28Z,13111,0,86,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13111F3516877:2024-11-29T10:03:28Z,13111,0,87,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13111F3517501:2025-01-21T00:39:14Z,13111,0,88,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13111F3827917:2025-01-22T00:42:25Z,13111,0,89,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000030,OCESN13111F3844134:2025-01-22T00:42:25Z,13111,0,90,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13112F3517122:2025-01-22T00:42:25Z,13112,1,91,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13112F3517744:2024-11-29T10:03:28Z,13112,1,92,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000036,OCESN13112F3520373:2025-01-24T00:40:05Z,13112,1,93,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000037,OCESN13112F3588674:2025-01-10T00:20:33Z,13112,1,94,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000038,OCESN13112F3845800:2025-01-24T00:40:05Z,13112,1,95,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13113F3517472:2025-01-24T00:40:05Z,13113,0,96,
